1/31/2020 9:35:26 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:35:27 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:35:27 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:35:42 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:00 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:00 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:00 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:03 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:03 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:03 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:06 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:06 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:06 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:09 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:09 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:09 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:12 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:12 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:12 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:15 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:15 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:15 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:16 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:19 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:20 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:20 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:20 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:22 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:24 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:24 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:24 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:25 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:28 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:30 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:30 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:30 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:31 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:35 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:35 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:35 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:36 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:38 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:38 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:38 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:40 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:41 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:41 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:41 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:45 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:45 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:45 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:45 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:51 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:52 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:52 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:52 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:54 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:55 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:55 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:55 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:57 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:37:59 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:59 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:37:59 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:00 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:08 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:11 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:15 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:29 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:29 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:29 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:30 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:30 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:30 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:30 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:30 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:30 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:31 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:31 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:31 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:31 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:31 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:31 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:31 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:31 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:31 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:31 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:31 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:31 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:31 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:31 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:31 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:32 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:32 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:32 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
